hour,traffic_type,lower_limit,vehs_per_hour,upper_limit
0:00,2,151,201,250
1:00,2,151,201,250
2:00,2,151,201,250
3:00,2,151,201,250
4:00,2,151,201,250
5:00,2,151,201,250
6:00,2,151,201,250
7:00,2,151,201,250
8:00,2,151,201,250
9:00,2,151,201,250
10:00,2,151,201,250
11:00,2,151,201,250
12:00,2,151,201,250
13:00,2,151,201,250
14:00,2,151,201,250
15:00,2,151,201,250
16:00,2,151,201,250
17:00,2,151,201,250
18:00,2,151,201,250
19:00,2,151,201,250
20:00,2,151,201,250
21:00,2,151,201,250
22:00,2,151,201,250
23:00,2,151,201,250
