day,hour,traffic_type_n_s,traffic_type_e_w,traffic_type
Monday,0:00,Very Low,Very Low,0
Monday,0:30,Very Low,Very Low,0
Monday,1:00,Very Low,Very Low,0
Monday,1:30,Very Low,Very Low,0
Monday,2:00,Very Low,Very Low,0
Monday,2:30,Very Low,Very Low,0
Monday,3:00,Very Low,Very Low,0
Monday,3:30,Very Low,Very Low,0
Monday,4:00,Very Low,Very Low,0
Monday,4:30,Very Low,Very Low,0
Monday,5:00,Very Low,Very Low,0
Monday,5:30,Very Low,Very Low,0
Monday,6:00,Low,Very Low,2
Monday,6:30,Low,Very Low,2
Monday,7:00,Med,Low,6
Monday,7:30,Med,Low,6
Monday,8:00,High,Med,10
Monday,8:30,High,Med,10
Monday,9:00,High,Med,10
Monday,9:30,High,Low,9
Monday,10:00,Med,Low,6
Monday,10:30,Med,Low,6
Monday,11:00,Med,Low,6
Monday,11:30,Med,Low,6
Monday,12:00,Med,Low,6
Monday,12:30,Med,Med,7
Monday,13:00,Med,Med,7
Monday,13:30,High,High,11
Monday,14:00,High,High,11
Monday,14:30,High,Med,10
Monday,15:00,High,Med,10
Monday,15:30,Med,Low,6
Monday,16:00,Low,Low,3
Monday,16:30,Low,Low,3
Monday,17:00,Med,Low,6
Monday,17:30,Med,Low,6
Monday,18:00,Med,Low,6
Monday,18:30,Low,Low,3
Monday,19:00,Low,Low,3
Monday,19:30,Med,Low,6
Monday,20:00,Med,Low,6
Monday,20:30,High,Med,10
Monday,21:00,Med,Med,7
Monday,21:30,Med,Low,6
Monday,22:00,Med,Low,6
Monday,22:30,Low,Very Low,2
Monday,23:00,Low,Very Low,2
Monday,23:30,Very Low,Very Low,0
Tuesday,0:00,Very Low,Very Low,0
Tuesday,0:30,Very Low,Very Low,0
Tuesday,1:00,Very Low,Very Low,0
Tuesday,1:30,Very Low,Very Low,0
Tuesday,2:00,Very Low,Very Low,0
Tuesday,2:30,Very Low,Very Low,0
Tuesday,3:00,Very Low,Very Low,0
Tuesday,3:30,Very Low,Very Low,0
Tuesday,4:00,Very Low,Very Low,0
Tuesday,4:30,Very Low,Very Low,0
Tuesday,5:00,Very Low,Very Low,0
Tuesday,5:30,Very Low,Very Low,0
Tuesday,6:00,Low,Very Low,2
Tuesday,6:30,Low,Very Low,2
Tuesday,7:00,Med,Low,6
Tuesday,7:30,Med,Low,6
Tuesday,8:00,High,Med,10
Tuesday,8:30,High,Med,10
Tuesday,9:00,High,Med,10
