hour,traffic_type,day,date_day,date_month,date_year
0:00,0,tuesday,1,1,2019
1:00,2,tuesday,1,1,2019
2:00,2,tuesday,1,1,2019
3:00,1,tuesday,1,1,2019
4:00,0,tuesday,1,1,2019
5:00,0,tuesday,1,1,2019
6:00,0,tuesday,1,1,2019
7:00,0,tuesday,1,1,2019
8:00,0,tuesday,1,1,2019
9:00,0,tuesday,1,1,2019
10:00,0,tuesday,1,1,2019
11:00,0,tuesday,1,1,2019
12:00,1,tuesday,1,1,2019
13:00,1,tuesday,1,1,2019
14:00,2,tuesday,1,1,2019
15:00,1,tuesday,1,1,2019
16:00,1,tuesday,1,1,2019
17:00,2,tuesday,1,1,2019
18:00,2,tuesday,1,1,2019
19:00,2,tuesday,1,1,2019
20:00,2,tuesday,1,1,2019
21:00,2,tuesday,1,1,2019
22:00,1,tuesday,1,1,2019
23:00,1,tuesday,1,1,2019
0:00,1,wednesday,2,1,2019
1:00,0,wednesday,2,1,2019
2:00,0,wednesday,2,1,2019
3:00,0,wednesday,2,1,2019
4:00,0,wednesday,2,1,2019
5:00,1,wednesday,2,1,2019
6:00,1,wednesday,2,1,2019
7:00,2,wednesday,2,1,2019
8:00,4,wednesday,2,1,2019
9:00,3,wednesday,2,1,2019
10:00,3,wednesday,2,1,2019
11:00,3,wednesday,2,1,2019
12:00,3,wednesday,2,1,2019
13:00,3,wednesday,2,1,2019
14:00,4,wednesday,2,1,2019
15:00,4,wednesday,2,1,2019
16:00,3,wednesday,2,1,2019
17:00,3,wednesday,2,1,2019
18:00,3,wednesday,2,1,2019
19:00,4,wednesday,2,1,2019
20:00,4,wednesday,2,1,2019
21:00,2,wednesday,2,1,2019
22:00,2,wednesday,2,1,2019
23:00,1,wednesday,2,1,2019
0:00,1,thursday,3,1,2019
1:00,0,thursday,3,1,2019
2:00,0,thursday,3,1,2019
3:00,0,thursday,3,1,2019
4:00,0,thursday,3,1,2019
5:00,1,thursday,3,1,2019
6:00,1,thursday,3,1,2019
7:00,2,thursday,3,1,2019
8:00,4,thursday,3,1,2019
9:00,3,thursday,3,1,2019
10:00,3,thursday,3,1,2019
11:00,3,thursday,3,1,2019
12:00,3,thursday,3,1,2019
13:00,3,thursday,3,1,2019
14:00,4,thursday,3,1,2019
15:00,4,thursday,3,1,2019
16:00,3,thursday,3,1,2019
17:00,3,thursday,3,1,2019
18:00,3,thursday,3,1,2019
19:00,4,thursday,3,1,2019
20:00,4,thursday,3,1,2019
21:00,2,thursday,3,1,2019
22:00,2,thursday,3,1,2019
23:00,1,thursday,3,1,2019
0:00,1,friday,4,1,2019
1:00,0,friday,4,1,2019
2:00,0,friday,4,1,2019
3:00,0,friday,4,1,2019
4:00,0,friday,4,1,2019
5:00,1,friday,4,1,2019
6:00,1,friday,4,1,2019
7:00,2,friday,4,1,2019
8:00,4,friday,4,1,2019
9:00,3,friday,4,1,2019
10:00,3,friday,4,1,2019
11:00,3,friday,4,1,2019
12:00,3,friday,4,1,2019
13:00,3,friday,4,1,2019
14:00,4,friday,4,1,2019
15:00,4,friday,4,1,2019
16:00,3,friday,4,1,2019
17:00,3,friday,4,1,2019
18:00,3,friday,4,1,2019
19:00,4,friday,4,1,2019
20:00,4,friday,4,1,2019
21:00,2,friday,4,1,2019
22:00,2,friday,4,1,2019
23:00,1,friday,4,1,2019
0:00,1,saturday,5,1,2019
1:00,1,saturday,5,1,2019
2:00,0,saturday,5,1,2019
3:00,0,saturday,5,1,2019
4:00,0,saturday,5,1,2019
5:00,0,saturday,5,1,2019
6:00,0,saturday,5,1,2019
7:00,0,saturday,5,1,2019
8:00,1,saturday,5,1,2019
9:00,1,saturday,5,1,2019
10:00,1,saturday,5,1,2019
11:00,1,saturday,5,1,2019
12:00,2,saturday,5,1,2019
13:00,2,saturday,5,1,2019
14:00,2,saturday,5,1,2019
15:00,2,saturday,5,1,2019
16:00,1,saturday,5,1,2019
17:00,2,saturday,5,1,2019
18:00,2,saturday,5,1,2019
19:00,2,saturday,5,1,2019
20:00,2,saturday,5,1,2019
21:00,2,saturday,5,1,2019
22:00,1,saturday,5,1,2019
23:00,1,saturday,5,1,2019
0:00,1,sunday,6,1,2019
1:00,1,sunday,6,1,2019
2:00,0,sunday,6,1,2019
3:00,0,sunday,6,1,2019
4:00,0,sunday,6,1,2019
5:00,0,sunday,6,1,2019
6:00,0,sunday,6,1,2019
7:00,0,sunday,6,1,2019
8:00,1,sunday,6,1,2019
9:00,1,sunday,6,1,2019
10:00,1,sunday,6,1,2019
11:00,1,sunday,6,1,2019
12:00,2,sunday,6,1,2019
13:00,2,sunday,6,1,2019
14:00,2,sunday,6,1,2019
15:00,2,sunday,6,1,2019
16:00,1,sunday,6,1,2019
17:00,2,sunday,6,1,2019
18:00,2,sunday,6,1,2019
19:00,2,sunday,6,1,2019
20:00,2,sunday,6,1,2019
21:00,2,sunday,6,1,2019
22:00,1,sunday,6,1,2019
23:00,1,sunday,6,1,2019
0:00,1,monday,7,1,2019
1:00,0,monday,7,1,2019
2:00,0,monday,7,1,2019
3:00,0,monday,7,1,2019
4:00,0,monday,7,1,2019
5:00,1,monday,7,1,2019
6:00,1,monday,7,1,2019
7:00,2,monday,7,1,2019
8:00,4,monday,7,1,2019
9:00,3,monday,7,1,2019
10:00,3,monday,7,1,2019
11:00,3,monday,7,1,2019
12:00,3,monday,7,1,2019
13:00,3,monday,7,1,2019
14:00,4,monday,7,1,2019
15:00,4,monday,7,1,2019
16:00,3,monday,7,1,2019
17:00,3,monday,7,1,2019
18:00,3,monday,7,1,2019
19:00,4,monday,7,1,2019
20:00,4,monday,7,1,2019
21:00,2,monday,7,1,2019
22:00,2,monday,7,1,2019
23:00,1,monday,7,1,2019
0:00,1,tuesday,8,1,2019
1:00,0,tuesday,8,1,2019
2:00,0,tuesday,8,1,2019
3:00,0,tuesday,8,1,2019
4:00,0,tuesday,8,1,2019
5:00,1,tuesday,8,1,2019
6:00,1,tuesday,8,1,2019
7:00,2,tuesday,8,1,2019
8:00,4,tuesday,8,1,2019
9:00,3,tuesday,8,1,2019
10:00,3,tuesday,8,1,2019
11:00,3,tuesday,8,1,2019
12:00,3,tuesday,8,1,2019
13:00,3,tuesday,8,1,2019
14:00,4,tuesday,8,1,2019
15:00,4,tuesday,8,1,2019
16:00,3,tuesday,8,1,2019
17:00,3,tuesday,8,1,2019
18:00,3,tuesday,8,1,2019
19:00,4,tuesday,8,1,2019
20:00,4,tuesday,8,1,2019
21:00,2,tuesday,8,1,2019
22:00,2,tuesday,8,1,2019
23:00,1,tuesday,8,1,2019
0:00,1,wednesday,9,1,2019
1:00,0,wednesday,9,1,2019
2:00,0,wednesday,9,1,2019
3:00,0,wednesday,9,1,2019
4:00,0,wednesday,9,1,2019
5:00,1,wednesday,9,1,2019
6:00,1,wednesday,9,1,2019
7:00,2,wednesday,9,1,2019
8:00,4,wednesday,9,1,2019
9:00,3,wednesday,9,1,2019
10:00,3,wednesday,9,1,2019
11:00,3,wednesday,9,1,2019
12:00,3,wednesday,9,1,2019
13:00,3,wednesday,9,1,2019
14:00,4,wednesday,9,1,2019
15:00,4,wednesday,9,1,2019
16:00,3,wednesday,9,1,2019
17:00,3,wednesday,9,1,2019
18:00,3,wednesday,9,1,2019
19:00,4,wednesday,9,1,2019
20:00,4,wednesday,9,1,2019
