hour,traffic_type,day,date_day,date_month,date_year
0:00,0,friday,1,1,2021
0:30,0,friday,1,1,2021
1:00,0,friday,1,1,2021
1:30,0,friday,1,1,2021
2:00,0,friday,1,1,2021
2:30,0,friday,1,1,2021
3:00,0,friday,1,1,2021
3:30,0,friday,1,1,2021
4:00,0,friday,1,1,2021
4:30,0,friday,1,1,2021
5:00,0,friday,1,1,2021
5:30,0,friday,1,1,2021
6:00,2,friday,1,1,2021
6:30,3,friday,1,1,2021
7:00,6,friday,1,1,2021
7:30,6,friday,1,1,2021
8:00,10,friday,1,1,2021
8:30,10,friday,1,1,2021
9:00,10,friday,1,1,2021
9:30,9,friday,1,1,2021
10:00,6,friday,1,1,2021
10:30,6,friday,1,1,2021
11:00,6,friday,1,1,2021
11:30,6,friday,1,1,2021
12:00,6,friday,1,1,2021
12:30,7,friday,1,1,2021
13:00,11,friday,1,1,2021
13:30,11,friday,1,1,2021
14:00,11,friday,1,1,2021
14:30,10,friday,1,1,2021
15:00,10,friday,1,1,2021
15:30,6,friday,1,1,2021
16:00,6,friday,1,1,2021
16:30,3,friday,1,1,2021
17:00,6,friday,1,1,2021
17:30,6,friday,1,1,2021
18:00,6,friday,1,1,2021
18:30,3,friday,1,1,2021
19:00,6,friday,1,1,2021
19:30,6,friday,1,1,2021
20:00,10,friday,1,1,2021
20:30,10,friday,1,1,2021
21:00,9,friday,1,1,2021
21:30,10,friday,1,1,2021
22:00,10,friday,1,1,2021
22:30,10,friday,1,1,2021
23:00,6,friday,1,1,2021
23:30,3,friday,1,1,2021
0:00,0,saturday,2,1,2021
0:30,0,saturday,2,1,2021
1:00,0,saturday,2,1,2021
1:30,0,saturday,2,1,2021
2:00,0,saturday,2,1,2021
2:30,0,saturday,2,1,2021
3:00,0,saturday,2,1,2021
3:30,0,saturday,2,1,2021
4:00,0,saturday,2,1,2021
4:30,0,saturday,2,1,2021
5:00,0,saturday,2,1,2021
5:30,0,saturday,2,1,2021
6:00,0,saturday,2,1,2021
6:30,0,saturday,2,1,2021
7:00,0,saturday,2,1,2021
7:30,2,saturday,2,1,2021
8:00,2,saturday,2,1,2021
8:30,2,saturday,2,1,2021
9:00,3,saturday,2,1,2021
