hour,traffic_type_n_s,traffic_type_e_w,traffic_type
0:00,Low,Low,0
0:30,Low,Low,0
1:00,Low,Low,0
1:30,Low,Low,0
2:00,Low,Low,0
2:30,Low,Low,0
3:00,Low,Low,0
3:30,Low,Low,0
4:00,Low,Low,0
4:30,Low,Low,0
5:00,Low,Low,0
5:30,Low,Low,0
6:00,Low,Low,0
6:30,Med,Low,3
7:00,Med,Low,3
7:30,Med,Low,3
8:00,High,Med,7
8:30,High,Med,7
9:00,High,Med,7
9:30,High,Low,6
10:00,Med,Low,3
10:30,Med,Low,3
11:00,Med,Low,3
11:30,Med,Low,3
12:00,Med,Low,3
12:30,Med,Med,4
13:00,Med,Med,4
13:30,High,High,8
14:00,High,Med,7
14:30,High,Med,7
15:00,High,Med,7
15:30,Med,Low,3
16:00,Low,Low,0
16:30,Low,Low,0
17:00,Med,Low,3
17:30,Med,Low,3
18:00,Med,Low,3
18:30,Low,Low,0
19:00,Low,Low,0
19:30,Low,Low,0
20:00,High,Med,7
20:30,High,Med,7
21:00,Med,Low,3
21:30,Med,Low,3
22:00,Med,Low,3
22:30,Low,Low,0
23:00,Low,Low,0
23:30,Low,Low,0
