day,hour,traffic_type_n_s,traffic_type_e_w,traffic_type
Saturday,0:00,Very Low,Very Low,0
Saturday,0:30,Very Low,Very Low,0
Saturday,1:00,Very Low,Very Low,0
Saturday,1:30,Very Low,Very Low,0
Saturday,2:00,Very Low,Very Low,0
Saturday,2:30,Very Low,Very Low,0
Saturday,3:00,Very Low,Very Low,0
Saturday,3:30,Very Low,Very Low,0
Saturday,4:00,Very Low,Very Low,0
Saturday,4:30,Very Low,Very Low,0
Saturday,5:00,Very Low,Very Low,0
Saturday,5:30,Very Low,Very Low,0
Saturday,6:00,Very Low,Very Low,0
Saturday,6:30,Very Low,Very Low,0
Saturday,7:00,Very Low,Very Low,0
Saturday,7:30,Low,Very Low,2
Saturday,8:00,Low,Very Low,2
Saturday,8:30,Low,Very Low,2
Saturday,9:00,Low,Low,3
Saturday,9:30,Low,Low,3
Saturday,10:00,Low,Low,3
Saturday,10:30,Low,Low,3
Saturday,11:00,Med,Low,6
Saturday,11:30,Med,Low,6
Saturday,12:00,Med,Low,6
Saturday,12:30,Low,Low,3
Saturday,13:00,Low,Low,3
Saturday,13:30,Med,Med,7
Saturday,14:00,Med,Med,7
Saturday,14:30,Med,Med,7
Saturday,15:00,Med,Low,6
Saturday,15:30,Low,Low,3
Saturday,16:00,Low,Low,3
Saturday,16:30,Low,Low,3
Saturday,17:00,Med,Low,6
Saturday,17:30,Med,Low,6
Saturday,18:00,Med,Low,6
Saturday,18:30,Med,Low,6
Saturday,19:00,Low,Low,3
Saturday,19:30,Low,Low,3
Saturday,20:00,Med,Low,6
Saturday,20:30,Med,Med,7
Saturday,21:00,High,Med,10
Saturday,21:30,High,Med,10
Saturday,22:00,Med,Med,7
Saturday,22:30,Med,Low,6
Saturday,23:00,Low,Low,3
Saturday,23:30,Low,Very Low,2
Sunday,0:00,Very Low,Very Low,0
Sunday,0:30,Very Low,Very Low,0
Sunday,1:00,Very Low,Very Low,0
Sunday,1:30,Very Low,Very Low,0
Sunday,2:00,Very Low,Very Low,0
Sunday,2:30,Very Low,Very Low,0
Sunday,3:00,Very Low,Very Low,0
Sunday,3:30,Very Low,Very Low,0
Sunday,4:00,Very Low,Very Low,0
Sunday,4:30,Very Low,Very Low,0
Sunday,5:00,Very Low,Very Low,0
Sunday,5:30,Very Low,Very Low,0
Sunday,6:00,Very Low,Very Low,0
Sunday,6:30,Very Low,Very Low,0
Sunday,7:00,Very Low,Very Low,0
Sunday,7:30,Very Low,Very Low,0
Sunday,8:00,Very Low,Very Low,0
Sunday,8:30,Low,Very Low,2
Sunday,9:00,Low,Very Low,2
Sunday,9:30,Low,Low,3
Sunday,10:00,Low,Low,3
Sunday,10:30,Low,Low,3
Sunday,11:00,Low,Low,3
Sunday,11:30,Low,Low,3
Sunday,12:00,Low,Low,3
Sunday,12:30,Low,Low,3
Sunday,13:00,Low,Low,3
Sunday,13:30,Med,Low,6
Sunday,14:00,Med,Low,6
Sunday,14:30,Med,Low,6
Sunday,15:00,Med,Low,6
Sunday,15:30,Low,Low,3
Sunday,16:00,Low,Low,3
Sunday,16:30,Low,Low,3
Sunday,17:00,Low,Low,3
Sunday,17:30,Low,Low,3
Sunday,18:00,Low,Low,3
Sunday,18:30,Low,Low,3
Sunday,19:00,Low,Low,3
Sunday,19:30,Low,Low,3
Sunday,20:00,Low,Low,3
Sunday,20:30,Low,Low,3
Sunday,21:00,Low,Low,3
Sunday,21:30,Low,Low,3
Sunday,22:00,Low,Low,3
Sunday,22:30,Low,Very Low,2
Sunday,23:00,Low,Very Low,2
Sunday,23:30,Very Low,Very Low,0
